SKU,Title,CreatedAt,Category,Subcategory,PriceHUF
"BK92398","Cablu/sufa elastica impletita 4m cu carlige metalice pentru remorcare 2T","2026-08-05T06:54:32.878Z","Accesorii agricole","Chingi, cabluri si coliere","1990"
"BK92399","Cablu/sufa elastica impletita 4m cu carlige metalice pentru remorcare 2T","2026-08-05T06:54:32.878Z","Accesorii agricole","Chingi, cabluri si coliere","1349"
"DISLA47","Mufa rapida dreapta plastic 6mm","2026-08-05T06:54:32.881Z","Accesorii agricole","Furtunuri","45"
"DISLA48","Mufa rapida dreapta plastic 8mm","2026-08-05T06:54:32.881Z","Accesorii agricole","Furtunuri","45"
"DISLA49","Mufa rapida dreapta plastic 10mm","2026-08-05T06:54:32.881Z","Accesorii agricole","Furtunuri","76"
"DISLA50","Mufa rapida dreapta plastic 12mm","2026-08-05T06:54:32.881Z","Accesorii agricole","Furtunuri","98"
"DISLA51","Mufa rapida dreapta furtun fi 14mm - plastic","2026-08-05T06:54:32.881Z","Accesorii agricole","Furtunuri","151"
"DISVA02","Mufa rapida dreapta plastic 16mm","2026-08-05T06:54:32.881Z","Accesorii agricole","Furtunuri","181"
"DISVA05","Mufa rapida redusa fi M4x6 - plastic","2026-08-05T06:54:32.881Z","Accesorii agricole","Furtunuri","83"
"DISVA06","Mufa rapida reductie plastic 6x8mm","2026-08-05T06:54:32.881Z","Accesorii agricole","Furtunuri","59"
"DISVA07","Mufa rapida reductie plastic 8x10mm","2026-08-05T06:54:32.881Z","Accesorii agricole","Furtunuri","83"
"DISVA08","Mufa rapida reductie plastic 10x12mm","2026-08-05T06:54:32.881Z","Accesorii agricole","Furtunuri","98"
"DISVA09","Mufa rapida reductie plastic 12x14mm","2026-08-05T06:54:32.881Z","Accesorii agricole","Furtunuri","224"
"DISVA10","Mufa rapida redusa fi M14x16 - plastic","2026-08-05T06:54:32.881Z","Accesorii agricole","Furtunuri","148"
"DISPA50","Mufa rapida T plastic 4mm","2026-08-05T06:54:32.881Z","Accesorii agricole","Furtunuri","68"
"DISVA03","Mufa rapida T plastic 6mm","2026-08-05T06:54:32.881Z","Accesorii agricole","Furtunuri","68"
