SKU,Title,CreatedAt,Category,Subcategory,PriceHUF
"BK92398","Cablu/sufa elastica impletita 4m cu carlige metalice pentru remorcare 2T","2026-06-24T02:05:48.472Z","Accesorii agricole","Chingi, cabluri si coliere","1990"
"BK92399","Cablu/sufa elastica impletita 4m cu carlige metalice pentru remorcare 2T","2026-06-24T02:05:48.473Z","Accesorii agricole","Chingi, cabluri si coliere","1349"
"DISLA47","Mufa rapida dreapta plastic 6mm","2026-06-24T02:05:48.476Z","Accesorii agricole","Furtunuri","45"
"DISLA48","Mufa rapida dreapta plastic 8mm","2026-06-24T02:05:48.476Z","Accesorii agricole","Furtunuri","45"
"DISLA49","Mufa rapida dreapta plastic 10mm","2026-06-24T02:05:48.477Z","Accesorii agricole","Furtunuri","76"
"DISLA50","Mufa rapida dreapta plastic 12mm","2026-06-24T02:05:48.477Z","Accesorii agricole","Furtunuri","98"
"DISLA51","Mufa rapida dreapta furtun fi 14mm - plastic","2026-06-24T02:05:48.477Z","Accesorii agricole","Furtunuri","151"
"DISVA02","Mufa rapida dreapta plastic 16mm","2026-06-24T02:05:48.477Z","Accesorii agricole","Furtunuri","181"
"DISVA05","Mufa rapida redusa fi M4x6 - plastic","2026-06-24T02:05:48.477Z","Accesorii agricole","Furtunuri","83"
"DISVA06","Mufa rapida reductie plastic 6x8mm","2026-06-24T02:05:48.477Z","Accesorii agricole","Furtunuri","59"
"DISVA07","Mufa rapida reductie plastic 8x10mm","2026-06-24T02:05:48.477Z","Accesorii agricole","Furtunuri","71"
"DISVA08","Mufa rapida reductie plastic 10x12mm","2026-06-24T02:05:48.477Z","Accesorii agricole","Furtunuri","98"
"DISVA09","Mufa rapida reductie plastic 12x14mm","2026-06-24T02:05:48.477Z","Accesorii agricole","Furtunuri","224"
"DISVA10","Mufa rapida redusa fi M14x16 - plastic","2026-06-24T02:05:48.477Z","Accesorii agricole","Furtunuri","148"
"DISPA50","Mufa rapida T plastic 4mm","2026-06-24T02:05:48.477Z","Accesorii agricole","Furtunuri","68"
"DISVA03","Mufa rapida T plastic 6mm","2026-06-24T02:05:48.477Z","Accesorii agricole","Furtunuri","68"
"DISLA52","Mufa rapida T plastic 8mm","2026-06-24T02:05:48.477Z","Accesorii agricole","Furtunuri","76"
"DISLA53","Mufa rapida T plastic 10mm","2026-06-24T02:05:48.477Z","Accesorii agricole","Furtunuri","109"
"DISLA54","Mufa rapida T plastic 12mm","2026-06-24T02:05:48.477Z","Accesorii agricole","Furtunuri","130"
"DISPA51","Mufa rapida T furtun M14 - plastic","2026-06-24T02:05:48.477Z","Accesorii agricole","Furtunuri","101"
"DISVA04","Mufa rapida T plastic 16mm","2026-06-24T02:05:48.477Z","Accesorii agricole","Furtunuri","261"
"DISVA11","Mufa rapida T reductie plastic 6x8x6mm","2026-06-24T02:05:48.477Z","Accesorii agricole","Furtunuri","106"
"DISVA12","Mufa rapida T reductie plastic 8x6x8mm","2026-06-24T02:05:48.477Z","Accesorii agricole","Furtunuri","89"
"DISVA13","Mufa rapida T reductie plastic 12x10x12mm","2026-06-24T02:05:48.477Z","Accesorii agricole","Furtunuri","154"
"DISVA14","Mufa rapida T reductie plastic 8x10x8mm","2026-06-24T02:05:48.477Z","Accesorii agricole","Furtunuri","133"
"DISVA15","Mufa rapida T reductie plastic 10x8x10mm","2026-06-24T02:05:48.477Z","Accesorii agricole","Furtunuri","121"
"DISVA16","Mufa rapida T reductie plastic 10x12x10mm","2026-06-24T02:05:48.477Z","Accesorii agricole","Furtunuri","142"
"DISVA17","Mufa rapida T reductie plastic 4x6x4mm","2026-06-24T02:05:48.477Z","Accesorii agricole","Furtunuri","88"
"DISVA18","Mufa rapida T reductie plastic 6x4x6mm","2026-06-24T02:05:48.477Z","Accesorii agricole","Furtunuri","88"
"DISVA01","Mufa rapida cot plastic 4mm","2026-06-24T02:05:48.477Z","Accesorii agricole","Furtunuri","50"
"DISLA55","Mufa rapida cot plastic 6mm","2026-06-24T02:05:48.477Z","Accesorii agricole","Furtunuri","53"
"DISLA56","Mufa rapida cot plastic 8mm","2026-06-24T02:05:48.477Z","Accesorii agricole","Furtunuri","83"
"DISLA57","Mufa rapida cot plastic 10mm","2026-06-24T02:05:48.477Z","Accesorii agricole","Furtunuri","83"
"DISLA58","Mufa rapida cot plastic 12mm","2026-06-24T02:05:48.477Z","Accesorii agricole","Furtunuri","98"
"DISLA59","Mufa rapida cot furtun M14 - plastic","2026-06-24T02:05:48.477Z","Accesorii agricole","Furtunuri","113"
